"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"HD.HCI.AMRT","","Survival Rate from Age 15-60","","Adult survival rate is calculated by subtracting the mortality rate for 15-60 year-olds from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","United Nations Population Division, World Population Prospects: 2019 Revision, supplemented with data provided by World Bank Staff.","","","","","","CC BY-4.0",
"HD.HCI.AMRT.FE","","Survival Rate from Age 15-60, Female","","Adult survival rate is calculated by subtracting the mortality rate for 15-60 year-olds from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","United Nations Population Division, World Population Prospects: 2019 Revision, supplemented with data provided by World Bank Staff.","","","","","","CC BY-4.0",
"HD.HCI.AMRT.MA","","Survival Rate from Age 15-60, Male","","Adult survival rate is calculated by subtracting the mortality rate for 15-60 year-olds from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","United Nations Population Division, World Population Prospects: 2019 Revision, supplemented with data provided by World Bank Staff.","","","","","","CC BY-4.0",
"HD.HCI.EYRS","","Expected Years of School","","Expected years of school is calculated as the sum of age-specific enrollment rates between ages 4 and 17. Age-specific enrollment rates are approximated using school enrollment rates at different levels: pre-primary enrollment rates approximate the age-specific enrolment rates for 4 and 5 year-olds; the primary rate approximates for 6-11 year-olds; the lower-secondary rate approximates for 12-14 year-olds; and the upper-secondary approximates for 15-17 year-olds. Most recent estimates are used.  Year of most recent primary enrollment rate used is shown  in data notes.","","","","","","","","","World Bank staff estimates based on data from UNESCO Institute for Statistics, supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
"HD.HCI.EYRS.FE","","Expected Years of School, Female","","Expected years of school is calculated as the sum of age-specific enrollment rates between ages 4 and 17. Age-specific enrollment rates are approximated using school enrollment rates at different levels: pre-primary enrollment rates approximate the age-specific enrolment rates for 4 and 5 year-olds; the primary rate approximates for 6-11 year-olds; the lower-secondary rate approximates for 12-14 year-olds; and the upper-secondary approximates for 15-17 year-olds. Most recent estimates are used.  Year of most recent primary enrollment rate used is shown  in data notes.","","","","","","","","","World Bank staff estimates based on data from UNESCO Institute for Statistics, supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
"HD.HCI.EYRS.MA","","Expected Years of School, Male","","Expected years of school is calculated as the sum of age-specific enrollment rates between ages 4 and 17. Age-specific enrollment rates are approximated using school enrollment rates at different levels: pre-primary enrollment rates approximate the age-specific enrolment rates for 4 and 5 year-olds; the primary rate approximates for 6-11 year-olds; the lower-secondary rate approximates for 12-14 year-olds; and the upper-secondary approximates for 15-17 year-olds. Most recent estimates are used.  Year of most recent primary enrollment rate used is shown  in data notes.","","","","","","","","","World Bank staff estimates based on data from UNESCO Institute for Statistics, supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
"HD.HCI.HLOS","","Harmonized Test Scores","","Harmonized test scores from major international student achievement testing programs.They are measured in TIMSS-equivalent units, where 300 is minimal attainment and 625 is advanced attainment. Most recent estimates are used.  Year of most recent estimate shown in data notes. 

Test scores from the following testing programs are included:
• TIMSS/PIRLS:  Refers to average of test scores from TIMSS (Trends in International Maths and Science Study) and PIRLS (Progress in International Reading Literacy Study), both carried out by the International Association for the Evaluation of Educational Achievement. Data from each PIRLS round is moved to the year of the nearest TIMSS round and averaged with the TIMSS data.     
• PISA:  Refers to test scores from Programme for International Student Assessment
• PISA+TIMSS/PIRLS:  Refers to the average of these programs for countries and years where both are available
• SACMEQ:  Refers to test scores from Southern and Eastern Africa Consortium for Monitoring Educational Quality 
• PASEC: Refers to test scores from Program of Analysis of Education Systems
• LLECE:  Refers to test scores from Latin American Laboratory for Assessment of the Quality of Education
• PILNA: Refers to test scores from Pacific Islands Literacy and Numeracy Assessment
• EGRA:  Refers to test scores from nationally-representative Early Grade Reading Assessments  
• EGRANR:  Refers to test scores from non-nationally-representative Early Grade Reading Assessments","","","","","","","","","Patrinos and Angrist (2018).  http://documents.worldbank.org/curated/en/390321538076747773/Global-Dataset-on-Education-Quality-A-Review-and-Update-2000-2017","","","","","","CC BY-4.0",
"HD.HCI.HLOS.FE","","Harmonized Test Scores, Female","","Harmonized test scores from major international student achievement testing programs.They are measured in TIMSS-equivalent units, where 300 is minimal attainment and 625 is advanced attainment. Most recent estimates are used.  Year of most recent estimate shown in data notes. 

Test scores from the following testing programs are included:
• TIMSS/PIRLS:  Refers to average of test scores from TIMSS (Trends in International Maths and Science Study) and PIRLS (Progress in International Reading Literacy Study), both carried out by the International Association for the Evaluation of Educational Achievement. Data from each PIRLS round is moved to the year of the nearest TIMSS round and averaged with the TIMSS data.     
• PISA:  Refers to test scores from Programme for International Student Assessment
• PISA+TIMSS/PIRLS:  Refers to the average of these programs for countries and years where both are available
• SACMEQ:  Refers to test scores from Southern and Eastern Africa Consortium for Monitoring Educational Quality 
• PASEC: Refers to test scores from Program of Analysis of Education Systems
• LLECE:  Refers to test scores from Latin American Laboratory for Assessment of the Quality of Education
• PILNA: Refers to test scores from Pacific Islands Literacy and Numeracy Assessment
• EGRA:  Refers to test scores from nationally-representative Early Grade Reading Assessments  
• EGRANR:  Refers to test scores from non-nationally-representative Early Grade Reading Assessments","","","","","","","","","Patrinos and Angrist (2018).  http://documents.worldbank.org/curated/en/390321538076747773/Global-Dataset-on-Education-Quality-A-Review-and-Update-2000-2017","","","","","","CC BY-4.0",
"HD.HCI.HLOS.MA","","Harmonized Test Scores, Male","","Harmonized test scores from major international student achievement testing programs.They are measured in TIMSS-equivalent units, where 300 is minimal attainment and 625 is advanced attainment. Most recent estimates are used.  Year of most recent estimate shown in data notes. 

Test scores from the following testing programs are included:
• TIMSS/PIRLS:  Refers to average of test scores from TIMSS (Trends in International Maths and Science Study) and PIRLS (Progress in International Reading Literacy Study), both carried out by the International Association for the Evaluation of Educational Achievement. Data from each PIRLS round is moved to the year of the nearest TIMSS round and averaged with the TIMSS data.     
• PISA:  Refers to test scores from Programme for International Student Assessment
• PISA+TIMSS/PIRLS:  Refers to the average of these programs for countries and years where both are available
• SACMEQ:  Refers to test scores from Southern and Eastern Africa Consortium for Monitoring Educational Quality 
• PASEC: Refers to test scores from Program of Analysis of Education Systems
• LLECE:  Refers to test scores from Latin American Laboratory for Assessment of the Quality of Education
• PILNA: Refers to test scores from Pacific Islands Literacy and Numeracy Assessment
• EGRA:  Refers to test scores from nationally-representative Early Grade Reading Assessments  
• EGRANR:  Refers to test scores from non-nationally-representative Early Grade Reading Assessments","","","","","","","","","Patrinos and Angrist (2018).  http://documents.worldbank.org/curated/en/390321538076747773/Global-Dataset-on-Education-Quality-A-Review-and-Update-2000-2017","","","","","","CC BY-4.0",
"HD.HCI.LAYS","","Learning-Adjusted Years of School","","Learning-adjusted years of school are calculated by multiplying the estimates of expected years of school by the ratio of most recent harmonized test scores to 625.","","","","","","","","","World Bank staff calculation based on methodology in Filmer et al. (2018).  http://documents.worldbank.org/curated/en/243261538075151093/Learning-Adjusted-Years-of-Schooling-LAYS-Defining-A-New-Macro-Measure-of-Education","","","","","","CC BY-4.0",
